sep=,
,ScopeINITALSTART, ScopeINITALEND, ScopeDEADSTART, ScopeDEADEND, ScopeTERMINATEDSTART, ScopeTERMINATEDEND, ScopeEXECUTINGSTART, ScopeEXECUTINGEND, ScopeFAULT_HANDLINGSTART, ScopeFAULT_HANDLINGEND, ScopeFAULT_UNCOUGHTSTART, ScopeFAULT_UNCOUGHTEND, ScopeFAULTSTART, ScopeFAULTEND, ScopeCOMPLETEDSTART, ScopeCOMPLETEDEND, ScopeActivityINITALSTART, ScopeActivityINITALEND, ScopeActivityDEADSTART, ScopeActivityDEADEND, ScopeActivityTERMINATEDSTART, ScopeActivityTERMINATEDEND, ScopeActivityEXECUTINGSTART, ScopeActivityEXECUTINGEND, ScopeActivityFAULTSTART, ScopeActivityFAULTEND, ScopeActivityCOMPLETEDSTART, ScopeActivityCOMPLETEDEND, INITALSTART, INITALEND, DEADSTART, DEADEND, TERMINATEDSTART, TERMINATEDEND, EXECUTINGSTART, EXECUTINGEND, FAULTSTART, FAULTEND, COMPLETEDSTART, COMPLETEDEND, FHActivityINITALSTART, FHActivityINITALEND, FHActivityDEADSTART, FHActivityDEADEND, FHActivityTERMINATEDSTART, FHActivityTERMINATEDEND, FHActivityEXECUTINGSTART, FHActivityEXECUTINGEND, FHActivityFAULTSTART, FHActivityFAULTEND, FHActivityCOMPLETEDSTART, FHActivityCOMPLETEDEND, 
ScopeActivityFAULTEND, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, UNRELATED GREATER, GREATER, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeActivityCOMPLETEDSTART, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED, UNRELATED, UNRELATED GREATER, UNRELATED, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, EQUALS, LESS, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeActivityCOMPLETEDEND, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED, UNRELATED, UNRELATED GREATER, UNRELATED, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, GREATER, EQUALS UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, GREATER, , , , , , , , , , , , , , , , , , , , , , , , , , 
INITALSTART, EQUALS, LESS, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, EQUALS, LESS, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, , , , , , , , , , , , , , , , , , , , , , , , , 
INITALEND, GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, GREATER, , , , , , , , , , , , , , , , , , , , , , , , 
DEADSTART, UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, EQUALS UNRELATED, LESS UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, EQUALS UNRELATED, LESS UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, EQUALS UNRELATED, LESS UNRELATED, UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, EQUALS UNRELATED, LESS UNRELATED, UNRELATED GREATER, EQUALS UNRELATED, , , , , , , , , , , , , , , , , , , , , , , 
DEADEND, UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, EQUALS UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, UNRELATED GREATER, GREATER, , , , , , , , , , , , , , , , , , , , , , 
TERMINATEDSTART, UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, EQUALS UNRELATED, LESS UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, EQUALS UNRELATED, LESS UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, EQUALS UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, , , , , , , , , , , , , , , , , , , , , 
TERMINATEDEND, UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, EQUALS UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, GREATER, , , , , , , , , , , , , , , , , , , , 
EXECUTINGSTART, UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, EQUALS UNRELATED, LESS UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, EQUALS UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, , , , , , , , , , , , , , , , , , , 
